id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27639543,Home in Crows Nest · ★4.86 · 1 bedroom · 1 bed · 1 bath,34334888,Sarah,,North Sydney,-33.82574,151.2056,Entire home/apt,175,90,8,31/1/2019,0.14,1,0,0,
27352922,Rental unit in Lidcombe · Studio · 2 beds · 1 private bath,206127004,Swapnil,,Auburn,-33.86427,151.04977,Private room,70,90,0,,,1,0,0,
27077748,Home in Strathfield · 1 bedroom · 2 beds · 2 shared baths,199839164,Kaylee,,Burwood,-33.87994,151.09473,Shared room,90,90,1,1/1/2020,0.02,1,173,0,
27368025,Home in Surry Hills · 1 bedroom · 1 bed · 1 shared bath,91781636,Charlotte,,Sydney,-33.88712,151.21084,Private room,295,90,0,,,1,0,0,
27641058,Boat in Palm Beach · ★4.88 · 2 bedrooms · 2 beds · 1 bath,34163042,Michael & Lynda,,Pittwater,-33.59733,151.31918,Entire home/apt,540,1,26,8/4/2023,0.49,1,270,9,Exempt
27089221,Townhouse in Lilyfield · 1 bedroom · 1 bed · 1 private bath,9014128,Pierre,,Leichhardt,-33.8689,151.16563,Private room,85,90,1,2/4/2019,0.02,1,0,0,
27645650,Rental unit in Homebush West · ★4.87 · 1 bedroom · 1 bed · 1 private bath,145654559,Cindy,,Strathfield,-33.86023,151.06134,Private room,56,90,15,16/6/2019,0.26,2,0,0,
27370168,Rental unit in Coogee · ★4.95 · 2 bedrooms · 2 beds · 1 bath,107801464,Melissa,,Randwick,-33.91667,151.25636,Entire home/apt,130,90,23,31/12/2020,0.39,2,0,0,
27091627,Rental unit in Bronte · ★4.50 · 2 bedrooms · 2 beds · 1 bath,20229749,Vicki,,Waverley,-33.90374,151.26036,Entire home/apt,100,90,5,31/8/2018,0.09,1,0,0,
27093891,Condo in Marrickville · ★4.66 · 2 bedrooms · 2 beds · 2 baths,32022304,Vin,,Marrickville,-33.91872,151.1477,Entire home/apt,84,90,32,15/3/2020,0.57,1,0,0,
27371033,Rental unit in Lilyfield · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,6927387,Talitha,,Leichhardt,-33.87204,151.15755,Private room,83,90,25,29/10/2021,0.43,1,0,0,
27650983,Home in Ashfield · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,99677747,Zai,,Ashfield,-33.88892,151.13275,Private room,50,90,4,18/4/2019,0.07,5,0,0,
27099306,Rental unit in Woollahra · ★4.56 · 1 bedroom · 1 bed · 1 private bath,203945180,Shakila,,Woollahra,-33.89,151.23469,Private room,1000,90,19,3/1/2019,0.32,1,0,0,
27371045,Boutique hotel in Rushcutters Bay · ★4.64 · 1 bedroom · 2 beds · 1 shared bath,82545663,Bayswater Boutique,,Sydney,-33.87585,151.22575,Private room,231,1,64,27/5/2023,1.15,8,210,12,Exempt
27099610,Rental unit in Surry Hills · 1 bedroom · 1 bed · 1 bath,6936175,Effie,,Sydney,-33.88201,151.21549,Entire home/apt,139,90,1,1/1/2019,0.02,1,0,0,
27102095,Home in Monterey · 1 bedroom · 1 bed · 1 shared bath,203970429,Andrei,,Rockdale,-33.97489,151.14722,Private room,40,90,0,,,1,0,0,
27371180,Serviced apartment in North Sydney · ★4.89 · Studio · 1 bed · 1 bath,86333173,JeanClaude,,North Sydney,-33.83345,151.21039,Entire home/apt,199,2,187,27/5/2023,3.22,7,209,32,PID-STRA-2551-8
27665301,Home in Randwick · ★4.14 · 1 bedroom · 2 beds · 1 shared bath,80811654,Carlos,,Randwick,-33.91572,151.23575,Private room,45,90,8,6/12/2018,0.14,8,0,0,
27665740,Boutique hotel in BONDI · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,193547124,The Baxley,,Waverley,-33.89262,151.25913,Hotel room,201,1,159,25/5/2023,2.76,5,347,23,Exempt
27114476,Rental unit in Ultimo · 1 bedroom · 1 bed · 1 bath,57529216,Joyce,,Sydney,-33.88263,151.19775,Entire home/apt,200,90,2,10/4/2019,0.04,1,0,0,
27667977,Rental unit in North Sydney · 1 bedroom · 1 bed · 1 shared bath,43640327,Anna,,North Sydney,-33.83486,151.21014,Private room,150,90,1,22/8/2018,0.02,2,364,0,
27372189,Condo in Homebush · ★3.67 · 1 bedroom · 4 beds · 2 shared baths,113690477,Bruce,,Strathfield,-33.86647,151.0901,Shared room,45,90,3,23/3/2019,0.05,2,179,0,
27135057,Rental unit in Waterloo · Studio · 2 beds · 1 private bath,139243525,Tina,,Sydney,-33.9001,151.20486,Private room,78,90,1,8/8/2018,0.02,2,0,0,
27136877,Home in West Ryde · 4 bedrooms · 2 beds · 2 shared baths,49532225,Daniel,,Ryde,-33.80593,151.08182,Private room,60,90,0,,,2,90,0,
27374808,Condo in Eastwood · ★4.83 · Studio · 1 bed · 1 shared bath,99348832,Jialei,,Parramatta,-33.78714,151.08193,Private room,35,90,6,13/10/2018,0.1,1,0,0,
27375342,Townhouse in Newtown · 1 bedroom · 1 bed · 1 shared bath,198541848,Jane,,Sydney,-33.89682,151.18512,Private room,60,90,0,,,2,0,0,
27669553,Home in Hurstville · ★4.14 · 4 bedrooms · 4 beds · 1 bath,76681275,Alex,,Hurstville,-33.95868,151.1082,Entire home/apt,100,90,8,7/9/2019,0.14,3,0,0,
27670485,Rental unit in Bellevue Hill · Studio · 1 bed · 1 bath,47595977,Natalie,,Waverley,-33.88814,151.26191,Entire home/apt,63,90,2,21/12/2018,0.04,1,0,0,
27137084,Rental unit in Mascot · 1 bedroom · 1 bed · 1 shared bath,28380407,Richard,,Botany Bay,-33.92511,151.19042,Private room,30,90,1,1/8/2018,0.02,1,0,0,
27139242,Home in Seaforth · 3 bedrooms · 4 beds · 3 baths,43736801,The Scout Group,,Manly,-33.79624,151.24838,Entire home/apt,531,90,1,14/11/2018,0.02,26,0,0,
27671995,Home in Waverton · ★4.64 · 4 bedrooms · 6 beds · 2 baths,7636937,Oliver,,North Sydney,-33.8368,151.20138,Entire home/apt,380,3,81,29/1/2023,1.4,1,0,16,PID-STRA-15209
27376342,Rental unit in Manly · ★4.89 · 1 bedroom · 2 beds · 1 bath,96135128,Nadine,,Manly,-33.7971,151.28743,Entire home/apt,286,2,139,3/6/2023,3.08,1,181,39,PID-STRA-2859
27140338,Boutique hotel in Surry Hills · ★4.56 · 1 bedroom · 1 bed · 1 private bath,200303151,57,,Sydney,-33.88439,151.21022,Hotel room,230,1,145,1/6/2023,2.87,7,324,70,Exempt
27382631,Rental unit in Drummoyne · 1 bedroom · 1 bed · 2.5 shared baths,114059752,Alan,,Canada Bay,-33.85346,151.15423,Private room,530,90,1,15/10/2018,0.02,1,0,0,
27675797,Rental unit in Leichhardt · ★4.69 · 1 bedroom · 1 bed · 1 bath,106871364,Allison,,Leichhardt,-33.88695,151.15529,Entire home/apt,80,90,15,16/11/2018,0.26,1,0,0,
27682663,Home in Rose Bay · 3 bedrooms · 4 beds · 3 baths,54940505,Dionne,,Waverley,-33.87526,151.2751,Entire home/apt,500,90,2,4/1/2020,0.04,1,0,0,
